Id,Name,Title,Release,Steam Rating,Tags
307640,Stick RPG 2: Director's Cut,"<a href=""https://store.steampowered.com/app/307640/"">Stick RPG 2: Director&#x27;s Cut</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/307640/header.jpg"" alt=""Stick RPG 2: Director&#x27;s Cut"">",2011,85% (547 reviews),"RPG, 2D, Comedy, Funny, Simulation, Singleplayer, Mature, Cartoony, Indie, Action, Dark Humor, Capitalism, Satire, Cult Classic, Open World, Memes, Casual, Adventure, Walking Simulator, Great Soundtrack"
251290,The Legend of Heroes: Trails in the Sky SC,"<a href=""https://store.steampowered.com/app/251290/"">The Legend of Heroes: Trails in the Sky SC</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/251290/header.jpg"" alt=""The Legend of Heroes: Trails in the Sky SC"">",2015,"97% (1,903 reviews)","JRPG, Story Rich, RPG, Great Soundtrack, Anime, Female Protagonist, Turn-Based Combat, Singleplayer, Turn-Based, Adventure, Classic, Fantasy, Action, Romance"
728730,Holyday City: Reloaded,"<a href=""https://store.steampowered.com/app/728730/"">Holyday City: Reloaded</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/728730/header.jpg"" alt=""Holyday City: Reloaded"">",2017,"81% (1,420 reviews)","Free to Play, Clicker, Casual, Simulation, Indie, Strategy, Singleplayer, Early Access, Idler"
631510,Devil May Cry HD Collection,"<a href=""https://store.steampowered.com/app/631510/"">Devil May Cry HD Collection</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/631510/header.jpg"" alt=""Devil May Cry HD Collection"">",2018,"90% (2,811 reviews)","Action, Hack and Slash, Character Action Game, Classic, Difficult, Great Soundtrack, Singleplayer, Demons, Spectacle fighter, Violent, Stylized, Third Person, Gore, Story Rich, Beat &#x27;em up, Atmospheric, Anime, Fast-Paced, Adventure, Gothic"
295670,Hive Jump,"<a href=""https://store.steampowered.com/app/295670/"">Hive Jump</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/295670/header.jpg"" alt=""Hive Jump"">",2017,71% (194 reviews),"Platformer, Shooter, Roguelike, Arcade, 2D, Procedural Generation, Side Scroller, Action, Pixel Graphics, Colorful, Sci-fi, Aliens, Co-op, Local Co-Op, Online Co-Op, Multiplayer, Singleplayer, 4 Player Local, Local Multiplayer, Indie"
477870,Yomawari: Night Alone,"<a href=""https://store.steampowered.com/app/477870/"">Yomawari: Night Alone</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/477870/header.jpg"" alt=""Yomawari: Night Alone"">",2016,"80% (1,195 reviews)","Horror, Adventure, Cute, Female Protagonist, Anime, Great Soundtrack, Singleplayer, Strategy, Atmospheric, 2D, RPG"
407330,Sakura Dungeon,"<a href=""https://store.steampowered.com/app/407330/"">Sakura Dungeon</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/407330/header.jpg"" alt=""Sakura Dungeon"">",2016,"91% (1,218 reviews)","Nudity, Sexual Content, Mature, Anime, RPG, Dungeon Crawler, Female Protagonist, Visual Novel, Adventure, JRPG, Singleplayer, Cute, Indie, Turn-Based, Hentai, Dating Sim, Memes, Story Rich, Casual, LGBTQ+"
402120,Deathstate: Abyssal Edition,"<a href=""https://store.steampowered.com/app/402120/"">Deathstate: Abyssal Edition</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/402120/header.jpg"" alt=""Deathstate: Abyssal Edition"">",2015,82% (271 reviews),"Action Roguelike, Roguelite, Action, Bullet Hell, Pixel Graphics, Indie, Adventure, RPG, Lovecraftian, Difficult, Roguelike, Great Soundtrack, Singleplayer"
462680,BalanCity,"<a href=""https://store.steampowered.com/app/462680/"">BalanCity</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/462680/header.jpg"" alt=""BalanCity"">",2016,80% (467 reviews),"Physics, City Builder, Puzzle, Casual, Simulation, Strategy, Indie, Family Friendly, Pixel Graphics, Funny, 2D, Singleplayer"
445020,Frozen Synapse 2,"<a href=""https://store.steampowered.com/app/445020/"">Frozen Synapse 2</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/445020/header.jpg"" alt=""Frozen Synapse 2"">",2018,64% (194 reviews),"Strategy, Indie, Turn-Based Tactics, Turn-Based, Singleplayer, Great Soundtrack, Multiplayer, Asynchronous Multiplayer, Cyberpunk, Tactical, Turn-Based Strategy, Replay Value, Management, Simulation, Isometric, Casual, Story Rich, Character Customization"
344500,Three Fourths Home: Extended Edition,"<a href=""https://store.steampowered.com/app/344500/"">Three Fourths Home: Extended Edition</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/344500/header.jpg"" alt=""Three Fourths Home: Extended Edition"">",2015,83% (62 reviews),"Indie, Adventure, Visual Novel, Atmospheric, Story Rich, Stylized, Singleplayer, Short, Female Protagonist"
462620,Pocket Kingdom,"<a href=""https://store.steampowered.com/app/462620/"">Pocket Kingdom</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/462620/header.jpg"" alt=""Pocket Kingdom"">",2016,96% (59 reviews),"Adventure, Indie, Puzzle, Pixel Graphics, 2D"
494840,UBOAT,"<a href=""https://store.steampowered.com/app/494840/"">UBOAT</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/494840/header.jpg"" alt=""UBOAT"">",2019,"79% (10,841 reviews)","Early Access, World War II, Simulation, Military, War, Open World, Action, Realistic, Historical, Shooter, Singleplayer, Moddable, Naval, Physics, Replay Value, Naval Combat, Management, RTS, Sandbox, Survival"
428460,Kings of Israel,"<a href=""https://store.steampowered.com/app/428460/"">Kings of Israel</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/428460/header.jpg"" alt=""Kings of Israel"">",2015,88% (67 reviews),"Strategy, Casual, Indie, Board Game, Historical, Turn-Based, Cartoony, Faith, Resource Management, Tutorial, Singleplayer, Anime, Nudity, Illuminati, Difficult, Demons, Memes, Sexual Content, Mythology, MOBA"
45410,Ignite,"<a href=""https://store.steampowered.com/app/45410/"">Ignite</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/45410/header.jpg"" alt=""Ignite"">",2011,50% (93 reviews),Racing
621220,Nantucket,"<a href=""https://store.steampowered.com/app/621220/"">Nantucket</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/621220/header.jpg"" alt=""Nantucket"">",2018,78% (636 reviews),"Strategy, Indie, Adventure, RPG, Simulation, Naval, Historical, Exploration, Choose Your Own Adventure, Sailing, 2D, Pirates, Great Soundtrack, Board Game, Sandbox, Story Rich, Management, Turn-Based Combat"
329790,Krosmaster Arena,"<a href=""https://store.steampowered.com/app/329790/"">Krosmaster Arena</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/329790/header.jpg"" alt=""Krosmaster Arena"">",2015,nan,"Free to Play, Strategy, RPG, Multiplayer, Board Game, Anime"
15210,Silent Hunter® III,"<a href=""https://store.steampowered.com/app/15210/"">Silent Hunter® III</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/15210/header.jpg"" alt=""Silent Hunter® III"">",2005,"86% (1,605 reviews)","Naval Combat, Simulation, World War II, Submarine, Naval, Military, Historical, Underwater, Open World, Realistic, Action, Singleplayer, Multiplayer, Strategy, Classic, War"
422510,DEMON'S TILT,"<a href=""https://store.steampowered.com/app/422510/"">DEMON&#x27;S TILT</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/422510/header.jpg"" alt=""DEMON&#x27;S TILT"">",2019,95% (482 reviews),"Pinball, Action, Indie, Arcade, Bullet Hell, Gothic, Dark Fantasy, Fantasy, Pixel Graphics, Fast-Paced, 2D, Singleplayer, Difficult, Top-Down, 1990&#x27;s, Cult Classic, Classic, Replay Value, Unforgiving, Hack and Slash"
499900,Pulse Shift,"<a href=""https://store.steampowered.com/app/499900/"">Pulse Shift</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/499900/header.jpg"" alt=""Pulse Shift"">",2013,70% (10 reviews),"Indie, Puzzle"
410890,Higurashi When They Cry Hou - Ch.2 Watanagashi,"<a href=""https://store.steampowered.com/app/410890/"">Higurashi When They Cry Hou - Ch.2 Watanagashi</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/410890/header.jpg"" alt=""Higurashi When They Cry Hou - Ch.2 Watanagashi"">",2015,97% (621 reviews),"Visual Novel, Horror, Anime, Mystery, Psychological Horror, Story Rich, Dark, Adventure, Atmospheric, Psychological, Great Soundtrack, Singleplayer, Linear, Cute, Gore, Classic, Indie, 2D"
397270,A Kiss For The Petals - Remembering How We Met,"<a href=""https://store.steampowered.com/app/397270/"">A Kiss For The Petals - Remembering How We Met</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/397270/header.jpg"" alt=""A Kiss For The Petals - Remembering How We Met"">",2015,"93% (1,018 reviews)","Visual Novel, Female Protagonist, Anime, Romance, Cute, LGBTQ+, Adventure, Sexual Content, Dating Sim, Nudity, Mature, Singleplayer, Story Rich, 2D, Hentai, Casual"
391460,WARMODE,"<a href=""https://store.steampowered.com/app/391460/"">WARMODE</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/391460/header.jpg"" alt=""WARMODE"">",2019,"61% (16,898 reviews)","Free to Play, FPS, Multiplayer, Shooter, Action, First-Person, Early Access, War, Co-op, Massively Multiplayer, Zombies, Singleplayer, Online Co-Op, Survival, Controller, Open World, Gore, Atmospheric, Adventure, RPG"
598960,Mashinky,"<a href=""https://store.steampowered.com/app/598960/"">Mashinky</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/598960/header.jpg"" alt=""Mashinky"">",2018,"89% (1,719 reviews)","Early Access, Strategy, Simulation, Trains, Management, Sandbox, Economy, Procedural Generation, Difficult, Transportation, RTS, Open World, 2D, 3D, Isometric, Historical, Realistic, Level Editor, Moddable, Resource Management"
47920,Shift 2 Unleashed,"<a href=""https://store.steampowered.com/app/47920/"">Shift 2 Unleashed</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/47920/header.jpg"" alt=""Shift 2 Unleashed"">",2011,"66% (2,124 reviews)","Racing, Automobile Sim, Simulation, Driving, Multiplayer, Realistic, Singleplayer"
640590,The LEGO® NINJAGO® Movie Video Game,"<a href=""https://store.steampowered.com/app/640590/"">The LEGO® NINJAGO® Movie Video Game</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/640590/header.jpg"" alt=""The LEGO® NINJAGO® Movie Video Game"">",2017,88% (586 reviews),"Action, LEGO, Multiplayer, Ninja, Co-op, Open World, Funny, Comedy, Adventure, Family Friendly, Local Co-Op, Singleplayer, Third Person, Local Multiplayer, Story Rich, Memes, Dating Sim, World War II, Violent, Gore"
574310,The Mooseman,"<a href=""https://store.steampowered.com/app/574310/"">The Mooseman</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/574310/header.jpg"" alt=""The Mooseman"">",2017,90% (731 reviews),"Adventure, Indie, Mythology, Atmospheric, Great Soundtrack, 2D, Story Rich, Singleplayer, Puzzle, Short, Casual"
562240,The Spirit Underneath,"<a href=""https://store.steampowered.com/app/562240/"">The Spirit Underneath</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/562240/header.jpg"" alt=""The Spirit Underneath"">",2017,7% (13 reviews),"Indie, Adventure, Violent, Horror"
556160,PHAT STACKS,"<a href=""https://store.steampowered.com/app/556160/"">PHAT STACKS</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/556160/header.jpg"" alt=""PHAT STACKS"">",2016,nan,"Casual, Indie, Action, Puzzle"
518800,Lone Leader,"<a href=""https://store.steampowered.com/app/518800/"">Lone Leader</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/518800/header.jpg"" alt=""Lone Leader"">",2016,33% (15 reviews),"Indie, Action, Adventure, Violent, Gore, Horror, Survival Horror, Zombies, FPS"
515910,Hooligan Vasja,"<a href=""https://store.steampowered.com/app/515910/"">Hooligan Vasja</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/515910/header.jpg"" alt=""Hooligan Vasja"">",2016,57% (64 reviews),"Indie, Casual, Action, Shoot &#x27;Em Up, Horror, Side Scroller, Top-Down"
509220,Save Jesus,"<a href=""https://store.steampowered.com/app/509220/"">Save Jesus</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/509220/header.jpg"" alt=""Save Jesus"">",2016,"90% (1,406 reviews)","Memes, Illuminati, Casual, Cold War, Puzzle, Anime, Indie, Fantasy, Physics, Family Friendly, World War II, Horror, Funny, Singleplayer, Gore, Atmospheric, Comedy, Simulation, Story Rich, Difficult"
508300,Strategy & Tactics: Dark Ages,"<a href=""https://store.steampowered.com/app/508300/"">Strategy &amp; Tactics: Dark Ages</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/508300/header.jpg"" alt=""Strategy &amp; Tactics: Dark Ages"">",2017,64% (142 reviews),"Medieval, Strategy, Simulation, RPG, Board Game, Alternate History, Historical, Turn-Based Strategy, Grand Strategy, Diplomacy, Politics, Sandbox, RTS, Real-Time with Pause, Co-op, Dark Fantasy, War, Fantasy, Wargame, Atmospheric"
504980,Elves Adventure,"<a href=""https://store.steampowered.com/app/504980/"">Elves Adventure</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/504980/header.jpg"" alt=""Elves Adventure"">",2016,60% (10 reviews),"Adventure, Action, FPS"
503300,Super Star,"<a href=""https://store.steampowered.com/app/503300/"">Super Star</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/503300/header.jpg"" alt=""Super Star"">",2016,"78% (3,457 reviews)","Sexual Content, Nudity, Mature, Anime, Simulation, Visual Novel, Dating Sim, Indie, Adventure, Hentai, Memes, Management, Singleplayer, Action, Horror"
492630,Bear With Me - Episode One,"<a href=""https://store.steampowered.com/app/492630/"">Bear With Me - Episode One</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/492630/header.jpg"" alt=""Bear With Me - Episode One"">",2016,88% (893 reviews),"Noir, Dark, Atmospheric, Hidden Object, Point &amp; Click, Singleplayer, Horror, Adventure, Detective, 2D, Cute, Mystery, Funny, Comedy, Story Rich, Indie, Dark Humor, Dark Fantasy, Puzzle, Episodic"
460970,Soulcaster: Part I & II,"<a href=""https://store.steampowered.com/app/460970/"">Soulcaster: Part I &amp; II</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/460970/header.jpg"" alt=""Soulcaster: Part I &amp; II"">",2011,84% (19 reviews),"Indie, Strategy, Action, Tower Defense, Real Time Tactics, Pixel Graphics, Great Soundtrack"
460150,One Last Chance,"<a href=""https://store.steampowered.com/app/460150/"">One Last Chance</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/460150/header.jpg"" alt=""One Last Chance"">",2016,69% (36 reviews),"Indie, Casual, Visual Novel, Simulation, Anime, Great Soundtrack, Story Rich"
420970,RoBoRumble,"<a href=""https://store.steampowered.com/app/420970/"">RoBoRumble</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/420970/header.jpg"" alt=""RoBoRumble"">",1998,78% (14 reviews),"Strategy, Indie, Classic, 1990&#x27;s"
412730,Days Under Custody,"<a href=""https://store.steampowered.com/app/412730/"">Days Under Custody</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/412730/header.jpg"" alt=""Days Under Custody"">",2015,38% (13 reviews),"Indie, Adventure, Horror, Survival Horror, Puzzle Platformer"
407150,Trap Them - Sniper Edition,"<a href=""https://store.steampowered.com/app/407150/"">Trap Them - Sniper Edition</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/407150/header.jpg"" alt=""Trap Them - Sniper Edition"">",2015,nan,"Action, Adventure, Strategy, Indie, Casual, Puzzle, Shooter, Arcade, Singleplayer, Difficult, Sandbox, 2D"
391340,Ferrum's Secrets: Where Is Grandpa?,"<a href=""https://store.steampowered.com/app/391340/"">Ferrum&#x27;s Secrets: Where Is Grandpa?</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/391340/header.jpg"" alt=""Ferrum&#x27;s Secrets: Where Is Grandpa?"">",2015,39% (53 reviews),"Adventure, Casual, Indie, Hidden Object"
389310,Tic-Toc-Tower,"<a href=""https://store.steampowered.com/app/389310/"">Tic-Toc-Tower</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/389310/header.jpg"" alt=""Tic-Toc-Tower"">",2015,50% (32 reviews),"Indie, Action, Adventure, 2D, Singleplayer, Puzzle Platformer, Platformer, Fast-Paced, Local Multiplayer, Co-op, Arcade, Mechs, Difficult, Controller, Pixel Graphics, Score Attack"
377760,Fox & Flock,"<a href=""https://store.steampowered.com/app/377760/"">Fox &amp; Flock</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/377760/header.jpg"" alt=""Fox &amp; Flock"">",2015,86% (140 reviews),"Casual, Indie, Puzzle, Board Game, Horror"
373440,Stargazer,"<a href=""https://store.steampowered.com/app/373440/"">Stargazer</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/373440/header.jpg"" alt=""Stargazer"">",2015,73% (71 reviews),"RPG, RPGMaker, Female Protagonist"
372490,GROOVY,"<a href=""https://store.steampowered.com/app/372490/"">GROOVY</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/372490/header.jpg"" alt=""GROOVY"">",2016,nan,"Indie, Action, Strategy, Racing, Adventure, Sports, Platformer, Puzzle, 3D Platformer, Puzzle Platformer, Controller, Casual, Arcade, 3D, Abstract, Third Person, Colorful, Logic, Retro, Robots"
369040,Yargis - Space Melee,"<a href=""https://store.steampowered.com/app/369040/"">Yargis - Space Melee</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/369040/header.jpg"" alt=""Yargis - Space Melee"">",2015,40% (20 reviews),"Indie, Casual, Action, Adventure, Strategy, Simulation, Co-op, Top-Down, Moddable, Great Soundtrack, Space, Shoot &#x27;Em Up, Multiplayer, 2D, Arcade, Space Sim, 4X, Top-Down Shooter, 3D, Family Friendly"
365880,Mirrored - Chapter 1,"<a href=""https://store.steampowered.com/app/365880/"">Mirrored - Chapter 1</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/365880/header.jpg"" alt=""Mirrored - Chapter 1"">",2015,65% (79 reviews),"Adventure, Indie, Point &amp; Click, Mystery, Episodic, Thriller, First-Person, Puzzle, Casual, Sci-fi, Story Rich, Atmospheric"
363670,Seeders,"<a href=""https://store.steampowered.com/app/363670/"">Seeders</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/363670/header.jpg"" alt=""Seeders"">",2015,nan,"Indie, Adventure, Puzzle, Puzzle Platformer, Difficult, Co-op, Platformer, Singleplayer, Local Co-Op, 2D, Sci-fi, Pixel Graphics, Classic, Story Rich, Great Soundtrack, Side Scroller, Exploration"
355810,Centauri Sector,"<a href=""https://store.steampowered.com/app/355810/"">Centauri Sector</a><br><img src=""https://cdn.akamai.steamstatic.com/steam/apps/355810/header.jpg"" alt=""Centauri Sector"">",2015,50% (14 reviews),"Strategy, Action, Indie, Space, Shooter, Top-Down Shooter, Tactical RPG, RTS, Turn-Based Strategy"
